"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1","bat","trophic","roost","X.N.A","usageKey_gbif","scientificName_gbif","rank_gbif","status_gbif","confidence_gbif","matchType_gbif","kingdom_gbif","phylum_gbif","order_gbif","family_gbif","genus_gbif","kingdomKey_gbif","phylumKey_gbif","classKey_gbif","orderKey_gbif","familyKey_gbif","genusKey_gbif","synonym_gbif","class_gbif","species_gbif","speciesKey_gbif","acceptedUsageKey_gbif","phylum_Expert","class_Expert","order_Expert","family_Expert","genus_Expert","species_Expert","canonicalName_Expert","authorship_Expert","scientificName_normalized_GBIF","key_GBIF","TaxonMatch_GBIF","confidence_GBIF","status_GBIF","rank_GBIF","kingdom_GBIF","phylum_GBIF","class_GBIF","order_GBIF","family_GBIF","genus_GBIF","species_GBIF","canonicalName_GBIF","authorship_GBIF","scientificName_normalized_Expert","key_GBIF.1"
"4368","HeithausEtal1975-o70","Sturnira lilium (E.Geoffroy, 1810)","Hymenaea courbaril L.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,2950750,"Hymenaea courbaril L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Hymenaea",6,7707728,220,1370,5386,2950720,FALSE,"Magnoliopsida","Hymenaea courbaril",2950750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4369","HeithausEtal1975-o71","Sturnira lilium (E.Geoffroy, 1810)","Anacardium excelsum (Bertero & Balb.) Skeels","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5544303,"Anacardium excelsum (Bertero & Balb.) Skeels","SPECIES","ACCEPTED",94,"FUZZY","Plantae","Tracheophyta","Sapindales","Anacardiaceae","Anacardium",6,7707728,220,933,2398,5421367,FALSE,"Magnoliopsida","Anacardium excelsum",5544303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4370","HeithausEtal1975-o71","Sturnira lilium (E.Geoffroy, 1810)","Anacardium excelsum (Bertero & Balb.) Skeels","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5544303,"Anacardium excelsum (Bertero & Balb.) Skeels","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Sapindales","Anacardiaceae","Anacardium",6,7707728,220,933,2398,5421367,FALSE,"Magnoliopsida","Anacardium excelsum",5544303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4371","HeithausEtal1975-o72","Sturnira lilium (E.Geoffroy, 1810)","Mangifera indica L.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3190638,"Mangifera indica L.","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Sapindales","Anacardiaceae","Mangifera",6,7707728,220,933,2398,3075453,FALSE,"Magnoliopsida","Mangifera indica",3190638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4372","HeithausEtal1975-o73","Sturnira lilium (E.Geoffroy, 1810)","Bombacopsis fendleri Pittier","eats","Central America","Costa Rica","",NA,"yes",NA,NA,4073014,"Bombacopsis fendleri Pittier","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Pachira",6,7707728,220,941,6685,3152234,TRUE,"Magnoliopsida","Pachira quinata",4073616,4073616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4373","HeithausEtal1975-o75","Sturnira lilium (E.Geoffroy, 1810)","Ceiba aesculifolia (Kunth) Britten & Baker fil.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406696,"Ceiba aesculifolia (Kunth) Britten & Baker fil.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba aesculifolia",5406696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4374","HeithausEtal1975-o76","Sturnira lilium (E.Geoffroy, 1810)","Ceiba pentandra (L.) Gaertn.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406697,"Ceiba pentandra (L.) Gaertn.","SPECIES","ACCEPTED",94,"FUZZY","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba pentandra",5406697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4375","HeithausEtal1975-o76","Sturnira lilium (E.Geoffroy, 1810)","Ceiba pentandra (L.) Gaertn.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406697,"Ceiba pentandra (L.) Gaertn.","SPECIES","ACCEPTED",94,"FUZZY","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba pentandra",5406697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4376","HeithausEtal1975-o76","Sturnira lilium (E.Geoffroy, 1810)","Ceiba pentandra (L.) Gaertn.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406697,"Ceiba pentandra (L.) Gaertn.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba pentandra",5406697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4377","HeithausEtal1975-o77","Sturnira lilium (E.Geoffroy, 1810)","Ochroma lagopus Sw.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3152241,"Ochroma lagopus Sw.","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Ochroma",6,7707728,220,941,6685,3152238,TRUE,"Magnoliopsida","Ochroma pyramidale",3152240,3152240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
