"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1"
"936","BarbourDavis1969-a159","Myotis grisescens","","roost in","North America","United States","cave"
"937","BarbourDavis1969-a16","Tadarida brasiliensis","","roost in","Central America","Mexico","cave"
"938","BarbourDavis1969-a160","Myotis grisescens","","roost in","North America","United States","cave"
"939","BarbourDavis1969-a161","Myotis grisescens","","roost in","North America","United States","cave"
"940","BarbourDavis1969-a168","Myotis grisescens","","roost in","North America","United States","cave"
"941","BarbourDavis1969-a169","Myotis grisescens","","roost in","North America","United States","cave"
"942","BarbourDavis1969-a17","Leptonycteris sanborni","","roost in","Central America","Mexico","cave"
"943","BarbourDavis1969-a170","Myotis grisescens","","roost in","North America","United States","cave"
"944","BarbourDavis1969-a171","Myotis sodalis","","roost in","North America","United States","cave"
"945","BarbourDavis1969-a172","Myotis velifer","","roost in","North America","United States","cave"
"946","BarbourDavis1969-a173","Myotis velifer","","roost in","North America","United States","cave"
"947","BarbourDavis1969-a174","Myotis velifer","","roost in","North America","United States","anthropogenic"
"948","BarbourDavis1969-a175","Myotis velifer","","roost in","North America","United States","anthropogenic"
"949","BarbourDavis1969-a176","Myotis velifer","","roost in","North America","United States","anthropogenic"
"950","BarbourDavis1969-a177","Myotis velifer","","roost in","North America","United States","cave"
"951","BarbourDavis1969-a178","Myotis velifer","","roost in","","","cave"
"952","BarbourDavis1969-a179","Myotis velifer","","roost in","North America","United States","cave"
"953","BarbourDavis1969-a18","Natalus stramineus","","roost in","Central America","Mexico","cave"
"954","BarbourDavis1969-a180","Myotis velifer","","roost in","Central America","Mexico","cave"
"955","BarbourDavis1969-a181","Myotis velifer","","roost in","North America","United States","cave"
"956","BarbourDavis1969-a182","Myotis velifer","","roost in","North America","United States","nest"
"957","BarbourDavis1969-a183","Myotis velifer","","roost in","","","cave"
"958","BarbourDavis1969-a185","Myotis velifer","","roost in","North America","United States","anthropogenic"
"959","BarbourDavis1969-a186","Myotis velifer","","roost in","North America","United States","anthropogenic"
"960","BarbourDavis1969-a19","Pteronotus davyi","","roost in","Central America","Mexico","cave"
"961","BarbourDavis1969-a192","Myotis velifer","","roost in","North America","United States","cave"
"962","BarbourDavis1969-a193","Myotis velifer","","roost in","North America","United States","cave"
"963","BarbourDavis1969-a2","Mormoops megalophylla","","roost in","","","anthropogenic"
"964","BarbourDavis1969-a20","Macrotus waterhousii","","roost in","Central America","Mexico","cave"
"965","BarbourDavis1969-a207","Myotis velifer","","roost in","Central America","Mexico","cave"
"966","BarbourDavis1969-a208","Myotis occultus","","roost in","","","anthropogenic"
"967","BarbourDavis1969-a209","Myotis yumanensis","","roost in","","","anthropogenic"
"968","BarbourDavis1969-a21","Mormoops megalophylla","","roost in","Central America","Mexico","anthropogenic"
"969","BarbourDavis1969-a210","Myotis velifer","","roost in","","","anthropogenic"
"970","BarbourDavis1969-a211","Tadarida brasiliensis","","roost in","","","anthropogenic"
"971","BarbourDavis1969-a212","Myotis occultus","","roost in","North America","United States","anthropogenic"
"972","BarbourDavis1969-a213","Myotis occultus","","roost in","North America","United States","anthropogenic"
"973","BarbourDavis1969-a214","Myotis occultus","","roost in","North America","United States","anthropogenic"
"974","BarbourDavis1969-a215","Myotis occultus","","roost in","North America","United States","anthropogenic"
"975","BarbourDavis1969-a216","Myotis keenii","","roost in","North America","Canada","tree"
"976","BarbourDavis1969-a217","Myotis keenii","","roost in","North America","Canada","rock shelter"
"977","BarbourDavis1969-a218","Myotis keenii","","roost in","North America","","anthropogenic"
"978","BarbourDavis1969-a219","Myotis keenii","","roost in","North America","","cave"
"979","BarbourDavis1969-a22","Glossophaga sp.","","roost in","Central America","Mexico","anthropogenic"
"980","BarbourDavis1969-a220","Myotis lucifugus","","roost in","North America","","anthropogenic"
"981","BarbourDavis1969-a221","Myotis lucifugus","","roost in","North America","","cave"
"982","BarbourDavis1969-a222","Eptesicus fuscus","","roost in","North America","","anthropogenic"
"983","BarbourDavis1969-a223","Eptesicus fuscus","","roost in","North America","","cave"
"984","BarbourDavis1969-a224","Pipistrellus subflavus","","roost in","North America","","anthropogenic"
"985","BarbourDavis1969-a225","Pipistrellus subflavus","","roost in","North America","","cave"
"986","BarbourDavis1969-a226","Myotis keenii","","roost in","North America","","tree"
"987","BarbourDavis1969-a227","Myotis keenii","","roost in","North America","United States","anthropogenic"
"988","BarbourDavis1969-a228","Myotis keenii","","roost in","","","anthropogenic"
"989","BarbourDavis1969-a229","Myotis keenii","","roost in","North America","United States","anthropogenic"
"990","BarbourDavis1969-a23","Natalus sp.","","roost in","Central America","Mexico","anthropogenic"
"991","BarbourDavis1969-a230","Myotis keenii","","roost in","North America","United States","cave"
"992","BarbourDavis1969-a231","Myotis keenii","","roost in","North America","United States","cave"
"993","BarbourDavis1969-a232","Pipistrellus subflavus","","roost in","North America","United States","cave"
"994","BarbourDavis1969-a233","Eptesicus fuscus","","roost in","North America","United States","cave"
"995","BarbourDavis1969-a234","Myotis keenii","","roost in","North America","United States","anthropogenic"
"996","BarbourDavis1969-a235","Myotis keenii","","roost in","North America","United States","cave"
"997","BarbourDavis1969-a236","Myotis keenii","","roost in","North America","United States","tree"
"998","BarbourDavis1969-a237","Myotis keenii","","roost in","North America","United States","agricultural ecosystem"
"999","BarbourDavis1969-a238","Myotis lucifugus","","roost in","North America","United States","agricultural ecosystem"
"1000","BarbourDavis1969-a239","Myotis keenii","","roost in","North America","United States","anthropogenic"
"1001","BarbourDavis1969-a24","Macrotus waterhousii","","roost in","North America","United States","anthropogenic"
"1002","BarbourDavis1969-a240","Myotis keenii","","roost in","North America","United States","cave"
"1003","BarbourDavis1969-a241","Myotis keenii","","roost in","North America","United States","cave"
"1004","BarbourDavis1969-a242","Myotis keenii","","roost in","North America","United States","cave"
"1005","BarbourDavis1969-a243","Myotis keenii","","roost in","North America","United States","cave"
"1006","BarbourDavis1969-a244","Myotis keenii","","roost in","North America","United States","cave"
"1007","BarbourDavis1969-a245","Myotis keenii","","roost in","North America","United States","cave"
"1008","BarbourDavis1969-a246","Myotis keenii","","roost in","North America","United States","cave"
"1009","BarbourDavis1969-a247","Myotis keenii","","roost in","North America","United States","cave"
"1010","BarbourDavis1969-a248","Myotis auriculus","","roost in","North America","United States","anthropogenic"
"1011","BarbourDavis1969-a249","Myotis auriculus","","roost in","North America","United States","anthropogenic"
"1012","BarbourDavis1969-a25","Macrotus waterhousii","","roost in","North America","United States","rock shelter"
"1013","BarbourDavis1969-a250","Myotis auriculus","","roost in","Central America","Mexico","anthropogenic"
"1014","BarbourDavis1969-a251","Myotis evotis","","roost in","","","anthropogenic"
"1015","BarbourDavis1969-a252","Myotis evotis","","roost in","","","anthropogenic"
"1016","BarbourDavis1969-a253","Myotis evotis","","roost in","","","cave"
"1017","BarbourDavis1969-a254","Myotis evotis","","roost in","North America","United States","cave"
"1018","BarbourDavis1969-a255","Myotis evotis","","roost in","North America","Canada","anthropogenic"
"1019","BarbourDavis1969-a256","Myotis evotis","","roost in","North America","United States","anthropogenic"
"1020","BarbourDavis1969-a257","Myotis thysanodes","","roost in","","","cave"
"1021","BarbourDavis1969-a258","Myotis thysanodes","","roost in","","","rock shelter"
"1022","BarbourDavis1969-a259","Myotis thysanodes","","roost in","North America","United States","anthropogenic"
"1023","BarbourDavis1969-a26","Macrotus waterhousii","","roost in","","","anthropogenic"
"1024","BarbourDavis1969-a260","Myotis thysanodes","","roost in","North America","United States","cave"
"1025","BarbourDavis1969-a261","Myotis thysanodes","","roost in","North America","United States","cave"
"1026","BarbourDavis1969-a262","Myotis thysanodes","","roost in","North America","United States","cave"
"1027","BarbourDavis1969-a263","Myotis thysanodes","","roost in","North America","Canada","anthropogenic"
"1028","BarbourDavis1969-a264","Myotis thysanodes","","roost in","North America","United States","anthropogenic"
"1029","BarbourDavis1969-a265","Myotis thysanodes","","roost in","North America","United States","anthropogenic"
"1030","BarbourDavis1969-a266","Myotis thysanodes","","roost in","","","anthropogenic"
"1031","BarbourDavis1969-a267","Myotis thysanodes","","roost in","North America","United States","anthropogenic"
"1032","BarbourDavis1969-a268","Myotis thysanodes","","roost in","North America","United States","cave"
"1033","BarbourDavis1969-a269","Myotis thysanodes","","roost in","North America","United States","agricultural ecosystem"
"1034","BarbourDavis1969-a27","Macrotus waterhousii","","roost in","","","anthropogenic"
"1035","BarbourDavis1969-a270","Myotis volans","","roost in","North America","United States","agricultural ecosystem"
"1036","BarbourDavis1969-a271","Myotis thysanodes","","roost in","North America","United States","anthropogenic"
"1037","BarbourDavis1969-a272","Myotis thysanodes","","roost in","North America","United States","cave"
"1038","BarbourDavis1969-a273","Myotis thysanodes","","roost in","North America","United States","cave"
"1039","BarbourDavis1969-a274","Myotis sodalis","","roost in","North America","United States","cave"
"1040","BarbourDavis1969-a275","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1041","BarbourDavis1969-a276","Myotis sodalis","","roost in","North America","United States","cave"
"1042","BarbourDavis1969-a277","Myotis sodalis","","roost in","","","tree"
"1043","BarbourDavis1969-a278","Myotis sodalis","","roost in","","","anthropogenic"
"1044","BarbourDavis1969-a279","Myotis sodalis","","roost in","","","anthropogenic"
"1045","BarbourDavis1969-a28","Macrotus waterhousii","","roost in","","","anthropogenic"
"1046","BarbourDavis1969-a280","Myotis sodalis","","roost in","North America","United States","cave"
"1047","BarbourDavis1969-a281","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1048","BarbourDavis1969-a282","Myotis sodalis","","roost in","North America","United States","cave"
"1049","BarbourDavis1969-a283","Myotis sodalis","","roost in","North America","United States","cave"
"1050","BarbourDavis1969-a284","Myotis sodalis","","roost in","North America","United States","cave"
"1051","BarbourDavis1969-a285","Myotis sodalis","","roost in","North America","United States","cave"
"1052","BarbourDavis1969-a286","Myotis sodalis","","roost in","North America","United States","agricultural ecosystem"
"1053","BarbourDavis1969-a287","Myotis sodalis","","roost in","North America","United States","cave"
"1054","BarbourDavis1969-a288","Myotis sodalis","","roost in","North America","United States","cave"
"1055","BarbourDavis1969-a289","Myotis sodalis","","roost in","North America","United States","cave"
"1056","BarbourDavis1969-a29","Macrotus waterhousii","","roost in","","","rock shelter"
"1057","BarbourDavis1969-a290","Myotis sodalis","","roost in","North America","United States","cave"
"1058","BarbourDavis1969-a291","Myotis sodalis","","roost in","North America","United States","cave"
"1059","BarbourDavis1969-a292","Myotis sodalis","","roost in","North America","United States","cave"
"1060","BarbourDavis1969-a293","Myotis sodalis","","roost in","North America","United States","cave"
"1061","BarbourDavis1969-a294","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1062","BarbourDavis1969-a295","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1063","BarbourDavis1969-a296","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1064","BarbourDavis1969-a297","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1065","BarbourDavis1969-a298","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1066","BarbourDavis1969-a299","Myotis lucifugus","","roost in","North America","United States","anthropogenic"
"1067","BarbourDavis1969-a3","Mormoops megalophylla","","roost in","South America","","anthropogenic"
"1068","BarbourDavis1969-a30","Macrotus waterhousii","","roost in","","","anthropogenic"
"1069","BarbourDavis1969-a300","Myotis lucifugus","","roost in","North America","United States","anthropogenic"
"1070","BarbourDavis1969-a301","Myotis sodalis","","roost in","North America","United States","anthropogenic"
"1071","BarbourDavis1969-a302","Myotis volans","","roost in","Central America","Mexico","tree"
"1072","BarbourDavis1969-a303","Myotis volans","","roost in","North America","United States","rock shelter"
"1073","BarbourDavis1969-a304","Myotis volans","","roost in","North America","United States","rock shelter"
"1074","BarbourDavis1969-a305","Myotis volans","","roost in","North America","United States","anthropogenic"
"1075","BarbourDavis1969-a306","Myotis volans","","roost in","North America","United States","cave"
"1076","BarbourDavis1969-a307","Myotis volans","","roost in","North America","United States","rock shelter"
"1077","BarbourDavis1969-a308","Myotis volans","","roost in","North America","United States","anthropogenic"
"1078","BarbourDavis1969-a309","Myotis volans","","roost in","North America","United States","cave"
"1079","BarbourDavis1969-a31","Macrotus waterhousii","","roost in","North America","United States","anthropogenic"
"1080","BarbourDavis1969-a310","Myotis volans","","roost in","","","anthropogenic"
"1081","BarbourDavis1969-a311","Myotis californicus.","","roost in","","","anthropogenic"
"1082","BarbourDavis1969-a312","Myotis californicus.","","roost in","","","agricultural ecosystem"
"1083","BarbourDavis1969-a313","Myotis californicus.","","roost in","","","anthropogenic"
"1084","BarbourDavis1969-a314","Myotis californicus.","","roost in","","","anthropogenic"
"1085","BarbourDavis1969-a315","Myotis californicus.","","roost in","","","anthropogenic"
"1086","BarbourDavis1969-a316","Myotis californicus.","","roost in","","","cave"
"1087","BarbourDavis1969-a317","Myotis californicus.","","roost in","","","anthropogenic"
"1088","BarbourDavis1969-a318","Myotis californicus.","","roost in","","","anthropogenic"
"1089","BarbourDavis1969-a319","Myotis californicus.","","roost in","","","agricultural ecosystem"
"1090","BarbourDavis1969-a320","Myotis californicus.","","roost in","","","agricultural ecosystem"
"1091","BarbourDavis1969-a321","Myotis californicus.","","roost in","","","anthropogenic"
"1092","BarbourDavis1969-a322","Myotis californicus.","","roost in","","","anthropogenic"
"1093","BarbourDavis1969-a323","Myotis californicus.","","roost in","","","rock shelter"
"1094","BarbourDavis1969-a324","Myotis californicus.","","roost in","","","tree"
"1095","BarbourDavis1969-a325","Myotis californicus.","","roost in","","","tree"
"1096","BarbourDavis1969-a326","Myotis californicus.","","roost in","","","anthropogenic"
"1097","BarbourDavis1969-a327","Myotis californicus.","Yucca","roost in","Central America","Mexico","tree"
"1098","BarbourDavis1969-a328","Myotis californicus.","","roost in","Central America","Mexico","rock shelter"
"1099","BarbourDavis1969-a329","Myotis californicus.","","roost in","North America","United States","anthropogenic"
"1100","BarbourDavis1969-a330","Myotis californicus.","","roost in","","","anthropogenic"
"1101","BarbourDavis1969-a331","Myotis californicus.","","roost in","","","anthropogenic"
"1102","BarbourDavis1969-a332","Myotis californicus.","","roost in","","","anthropogenic"
"1103","BarbourDavis1969-a333","Myotis californicus.","","roost in","","","anthropogenic"
"1104","BarbourDavis1969-a334","Myotis californicus.","","roost in","North America","United States","cave"
"1105","BarbourDavis1969-a335","Myotis leibii","","roost in","North America","United States","anthropogenic"
"1106","BarbourDavis1969-a336","Myotis leibii","","roost in","North America","Canada","agricultural ecosystem"
"1107","BarbourDavis1969-a337","Myotis leibii","","roost in","North America","United States","anthropogenic"
"1108","BarbourDavis1969-a338","Myotis leibii","","roost in","North America","United States","rock shelter"
"1109","BarbourDavis1969-a339","Myotis leibii","","roost in","North America","United States","rock shelter"
"1110","BarbourDavis1969-a340","Myotis leibii","","roost in","North America","United States","agricultural ecosystem"
"1111","BarbourDavis1969-a341","Myotis leibii","Pinus","roost in","North America","United States","tree"
"1112","BarbourDavis1969-a342","Myotis leibii","","roost in","North America","United States","rock shelter"
"1113","BarbourDavis1969-a343","Myotis leibii","","roost in","North America","United States","cave"
"1114","BarbourDavis1969-a344","Myotis leibii","","roost in","North America","United States","anthropogenic"
"1115","BarbourDavis1969-a345","Myotis leibii","","roost in","North America","United States","anthropogenic"
"1116","BarbourDavis1969-a346","Myotis leibii","","roost in","North America","United States","cave"
"1117","BarbourDavis1969-a347","Myotis leibii","","roost in","North America","United States","cave"
"1118","BarbourDavis1969-a348","Myotis leibii","","roost in","North America","United States","cave"
"1119","BarbourDavis1969-a349","Myotis leibii","","roost in","","","cave"
"1120","BarbourDavis1969-a350","Myotis leibii","","roost in","#N/A","Canada and United States","cave"
"1121","BarbourDavis1969-a351","Myotis leibii","","roost in","#N/A","Canada and United States","anthropogenic"
"1122","BarbourDavis1969-a352","Myotis leibii","","roost in","North America","United States","cave"
"1123","BarbourDavis1969-a353","Myotis leibii","","roost in","North America","United States","cave"
"1124","BarbourDavis1969-a354","Myotis leibii","","roost in","","","cave"
"1125","BarbourDavis1969-a355","Myotis leibii","","roost in","","","anthropogenic"
"1126","BarbourDavis1969-a356","Myotis leibii","","roost in","","","anthropogenic"
"1127","BarbourDavis1969-a357","Myotis subflavus","","roost in","North America","United States","cave"
"1128","BarbourDavis1969-a358","Myotis leibii","","roost in","North America","Canada","cave"
"1129","BarbourDavis1969-a359","Myotis leibii","","roost in","North America","United States","anthropogenic"
"1130","BarbourDavis1969-a360","Myotis leibii","","roost in","North America","United States","cave"
"1131","BarbourDavis1969-a361","Lasionycteris noctivagans","","roost in","","","tree"
"1132","BarbourDavis1969-a362","Lasionycteris noctivagans","","roost in","","","nest"
"1133","BarbourDavis1969-a363","Lasionycteris noctivagans","","roost in","","","nest"
"1134","BarbourDavis1969-a364","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1135","BarbourDavis1969-a365","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1136","BarbourDavis1969-a366","Lasionycteris noctivagans","","roost in","","","tree"
"1137","BarbourDavis1969-a367","Lasionycteris noctivagans","","roost in","","","rock shelter"
"1138","BarbourDavis1969-a368","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1139","BarbourDavis1969-a369","Lasionycteris noctivagans","","roost in","North America","Canada","tree"
"1140","BarbourDavis1969-a370","Lasionycteris noctivagans","","roost in","North America","United States","tree"
"1141","BarbourDavis1969-a371","Lasionycteris noctivagans","","roost in","North America","United States","tree"
"1142","BarbourDavis1969-a372","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1143","BarbourDavis1969-a373","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1144","BarbourDavis1969-a374","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1145","BarbourDavis1969-a375","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1146","BarbourDavis1969-a376","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1147","BarbourDavis1969-a377","Lasionycteris noctivagans","","roost in","North America","United States","rock shelter"
"1148","BarbourDavis1969-a378","Eptesicus fuscus","","roost in","North America","United States","rock shelter"
"1149","BarbourDavis1969-a379","Lasionycteris noctivagans","","roost in","North America","United States","cave"
"1150","BarbourDavis1969-a380","Lasionycteris noctivagans","","roost in","North America","United States","anthropogenic"
"1151","BarbourDavis1969-a381","Lasionycteris noctivagans","","roost in","","","anthropogenic"
"1152","BarbourDavis1969-a382","Lasionycteris noctivagans","","roost in","North America","United States","tree"
"1153","BarbourDavis1969-a383","Lasionycteris noctivagans","","roost in","North America","United States","nest"
"1154","BarbourDavis1969-a384","Lasionycteris noctivagans","","roost in","North America","United States","anthropogenic"
"1155","BarbourDavis1969-a385","Lasionycteris noctivagans","","roost in","North America","United States","anthropogenic"
"1156","BarbourDavis1969-a386","Lasionycteris noctivagans","","roost in","North America","United States","anthropogenic"
"1157","BarbourDavis1969-a387","Lasionycteris noctivagans","","roost in","#N/A","North America","anthropogenic"
"1158","BarbourDavis1969-a388","Lasionycteris noctivagans","","roost in","North America","Canada","nest"
"1159","BarbourDavis1969-a389","Lasionycteris noctivagans","","roost in","North America","United States","anthropogenic"
"1160","BarbourDavis1969-a390","Lasionycteris noctivagans","","roost in","North America","United States","anthropogenic"
"1161","BarbourDavis1969-a391","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1162","BarbourDavis1969-a392","Myotis keenii","","roost in","North America","United States","anthropogenic"
"1163","BarbourDavis1969-a393","Pipistrellus hesperus","","roost in","","","rock shelter"
"1164","BarbourDavis1969-a394","Pipistrellus hesperus","","roost in","","","rock shelter"
"1165","BarbourDavis1969-a395","Pipistrellus hesperus","","roost in","","","rock shelter"
"1166","BarbourDavis1969-a396","Pipistrellus hesperus","","roost in","","","anthropogenic"
"1167","BarbourDavis1969-a397","Pipistrellus hesperus","","roost in","","","anthropogenic"
"1168","BarbourDavis1969-a398","Pipistrellus hesperus","","roost in","North America","United States","rock shelter"
"1169","BarbourDavis1969-a399","Pipistrellus hesperus","","roost in","North America","United States","rock shelter"
"1170","BarbourDavis1969-a4","Mormoops megalophylla","","roost in","#N/A","South American north through Central America and Mexico in to the United States","anthropogenic"
"1171","BarbourDavis1969-a40","Macrotus waterhousii","","roost in","","","anthropogenic"
"1172","BarbourDavis1969-a400","Pipistrellus hesperus","","roost in","North America","United States","foliage"
"1173","BarbourDavis1969-a401","Pipistrellus hesperus","","roost in","North America","United States","anthropogenic"
"1174","BarbourDavis1969-a402","Pipistrellus hesperus","","roost in","North America","United States","cave"
"1175","BarbourDavis1969-a403","Pipistrellus hesperus","","roost in","North America","United States","anthropogenic"
"1176","BarbourDavis1969-a404","Pipistrellus hesperus","","roost in","North America","United States","rock shelter"
"1177","BarbourDavis1969-a405","Pipistrellus hesperus","","roost in","North America","United States","anthropogenic"
"1178","BarbourDavis1969-a406","Tadarida brasiliensis","","roost in","","","anthropogenic"
"1179","BarbourDavis1969-a407","Antrozous pallidus","","roost in","","","anthropogenic"
"1180","BarbourDavis1969-a408","Myotis fortidens","","roost in","","","anthropogenic"
"1181","BarbourDavis1969-a409","Pipistrellus subflavus","","roost in","Central America","Mexico","tree"
"1182","BarbourDavis1969-a41","Macrotus waterhousii","","roost in","North America","United States","anthropogenic"
"1183","BarbourDavis1969-a410","Pipistrellus subflavus","","roost in","North America","United States","foliage"
"1184","BarbourDavis1969-a411","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1185","BarbourDavis1969-a412","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1186","BarbourDavis1969-a413","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1187","BarbourDavis1969-a414","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1188","BarbourDavis1969-a415","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1189","BarbourDavis1969-a416","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1190","BarbourDavis1969-a417","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1191","BarbourDavis1969-a418","Pipistrellus subflavus","","roost in","","","anthropogenic"
"1192","BarbourDavis1969-a419","Pipistrellus subflavus","","roost in","","","anthropogenic"
"1193","BarbourDavis1969-a42","Choeronycteris mexicana","","roost in","","","cave"
"1194","BarbourDavis1969-a420","Pipistrellus subflavus","","roost in","","","cave"
"1195","BarbourDavis1969-a421","Pipistrellus subflavus","","roost in","","","anthropogenic"
"1196","BarbourDavis1969-a422","Pipistrellus subflavus","","roost in","","","rock shelter"
"1197","BarbourDavis1969-a423","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1198","BarbourDavis1969-a424","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1199","BarbourDavis1969-a425","Pipistrellus subflavus","","roost in","","","anthropogenic"
"1200","BarbourDavis1969-a426","Pipistrellus subflavus","","roost in","North America","United States","anthropogenic"
"1201","BarbourDavis1969-a427","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1202","BarbourDavis1969-a428","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1203","BarbourDavis1969-a429","Pipistrellus subflavus","","roost in","","","cave"
"1204","BarbourDavis1969-a43","Choeronycteris mexicana","","roost in","","","anthropogenic"
"1205","BarbourDavis1969-a430","Pipistrellus subflavus","","roost in","#N/A","North America","cave"
"1206","BarbourDavis1969-a431","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1207","BarbourDavis1969-a432","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1208","BarbourDavis1969-a433","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1209","BarbourDavis1969-a434","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1210","BarbourDavis1969-a435","Pipistrellus subflavus","","roost in","North America","United States","cave"
"1211","BarbourDavis1969-a436","Pipistrellus subflavus","","roost in","","","anthropogenic"
"1212","BarbourDavis1969-a437","Eptesicus fuscus","","roost in","","","anthropogenic"
"1213","BarbourDavis1969-a438","Eptesicus fuscus","","roost in","","","anthropogenic"
"1214","BarbourDavis1969-a439","Eptesicus fuscus","","roost in","","","anthropogenic"
"1215","BarbourDavis1969-a44","Choeronycteris mexicana","","roost in","","","anthropogenic"
"1216","BarbourDavis1969-a440","Eptesicus fuscus","","roost in","","","anthropogenic"
"1217","BarbourDavis1969-a441","Eptesicus fuscus","","roost in","","","anthropogenic"
"1218","BarbourDavis1969-a442","Eptesicus fuscus","Sagura","roost in","North America","United States","tree"
"1219","BarbourDavis1969-a443","Eptesicus fuscus","","roost in","","","tree"
"1220","BarbourDavis1969-a444","Eptesicus fuscus","","roost in","North America","United States","rock shelter"
"1221","BarbourDavis1969-a445","Eptesicus fuscus","","roost in","","","anthropogenic"
"1222","BarbourDavis1969-a446","Eptesicus fuscus","","roost in","North America","United States","rock shelter"
"1223","BarbourDavis1969-a447","Eptesicus fuscus","","roost in","North America","United States","nest"
"1224","BarbourDavis1969-a448","Eptesicus fuscus","","roost in","","","anthropogenic"
"1225","BarbourDavis1969-a449","Eptesicus fuscus","","roost in","","","cave"
"1226","BarbourDavis1969-a45","Choeronycteris mexicana","","roost in","Central America","Mexico","tree"
"1227","BarbourDavis1969-a450","Eptesicus fuscus","","roost in","","","anthropogenic"
"1228","BarbourDavis1969-a451","Eptesicus fuscus","","roost in","","","anthropogenic"
"1229","BarbourDavis1969-a452","Eptesicus fuscus","","roost in","","","anthropogenic"
"1230","BarbourDavis1969-a453","Eptesicus fuscus","","roost in","","","anthropogenic"
"1231","BarbourDavis1969-a454","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1232","BarbourDavis1969-a455","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1233","BarbourDavis1969-a456","Eptesicus fuscus","","roost in","North America","United States","rock shelter"
"1234","BarbourDavis1969-a457","Eptesicus fuscus","","roost in","North America","United States","cave"
"1235","BarbourDavis1969-a458","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1236","BarbourDavis1969-a459","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1237","BarbourDavis1969-a46","Choeronycteris mexicana","","roost in","North America","United States","cave"
"1238","BarbourDavis1969-a460","Eptesicus fuscus","","roost in","North America","United States","tree"
"1239","BarbourDavis1969-a461","Eptesicus fuscus","","roost in","","","anthropogenic"
"1240","BarbourDavis1969-a462","Eptesicus fuscus","","roost in","","","anthropogenic"
"1241","BarbourDavis1969-a463","Eptesicus fuscus","","roost in","","","anthropogenic"
"1242","BarbourDavis1969-a464","Eptesicus fuscus","","roost in","","","anthropogenic"
"1243","BarbourDavis1969-a465","Eptesicus fuscus","","roost in","","","anthropogenic"
"1244","BarbourDavis1969-a466","Eptesicus fuscus","","roost in","","","anthropogenic"
"1245","BarbourDavis1969-a467","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1246","BarbourDavis1969-a468","Eptesicus fuscus","","roost in","","","anthropogenic"
"1247","BarbourDavis1969-a469","Eptesicus fuscus","","roost in","","","anthropogenic"
"1248","BarbourDavis1969-a47","Choeronycteris mexicana","","roost in","North America","United States","anthropogenic"
"1249","BarbourDavis1969-a470","Eptesicus fuscus","","roost in","","","anthropogenic"
"1250","BarbourDavis1969-a471","Eptesicus fuscus","","roost in","","","anthropogenic"
"1251","BarbourDavis1969-a472","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1252","BarbourDavis1969-a473","Eptesicus fuscus","","roost in","","","cave"
"1253","BarbourDavis1969-a474","Eptesicus fuscus","","roost in","","","anthropogenic"
"1254","BarbourDavis1969-a475","Eptesicus fuscus","","roost in","","","anthropogenic"
"1255","BarbourDavis1969-a476","Eptesicus fuscus","","roost in","","","rock shelter"
"1256","BarbourDavis1969-a477","Eptesicus fuscus","","roost in","North America","United States","anthropogenic"
"1257","BarbourDavis1969-a478","Eptesicus fuscus","","roost in","","","agricultural ecosystem"
"1258","BarbourDavis1969-a479","Eptesicus fuscus","","roost in","North America","United States","cave"
