referenceFileName,TaxonName,bat,trophic,roost,#N/A,usageKey_gbif,scientificName_gbif,rank_gbif,status_gbif,confidence_gbif,matchType_gbif,kingdom_gbif,phylum_gbif,order_gbif,family_gbif,genus_gbif,kingdomKey_gbif,phylumKey_gbif,classKey_gbif,orderKey_gbif,familyKey_gbif,genusKey_gbif,synonym_gbif,class_gbif,species_gbif,speciesKey_gbif,acceptedUsageKey_gbif,phylum_Expert,class_Expert,order_Expert,family_Expert,genus_Expert,species_Expert,canonicalName_Expert,authorship_Expert,scientificName_normalized_GBIF,key_GBIF,TaxonMatch_GBIF,confidence_GBIF,status_GBIF,rank_GBIF,kingdom_GBIF,phylum_GBIF,class_GBIF,order_GBIF,family_GBIF,genus_GBIF,species_GBIF,canonicalName_GBIF,authorship_GBIF,scientificName_normalized_Expert,key_GBIF
Goodwin_Greenhall_1961,Anoura geoffroyi,yes,NA,NA,NA,5963041,"Anoura geoffroyi Gray, 1838",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura geoffroyi,5963041,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Delgado-Jaramillo_etal_2018,Anoura geoffroyi,yes,NA,NA,NA,5963041,"Anoura geoffroyi Gray, 1838",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura geoffroyi,5963041,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Graham_1988,Anoura geoffroyi,yes,NA,NA,NA,5963041,"Anoura geoffroyi Gray, 1838",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura geoffroyi,5963041,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Anoura geoffroyi,yes,NA,NA,NA,5963041,"Anoura geoffroyi Gray, 1838",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura geoffroyi,5963041,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Handley_1976,Anoura geoffroyi,yes,NA,NA,NA,5963041,"Anoura geoffroyi Gray, 1838",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Anoura,1,44,359,734,9366,5963037,FALSE,Mammalia,Anoura geoffroyi,5963041,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Antrozous pallidas,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Hermanson_Oshea_1983,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Hermanson_Oshea_1983,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour_Davis_1969,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour_Davis_1969,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
